SIGLA,DS_SIGLA,ANOMES_FINAL_OBRA,UN,CD_CONTA,DS_CONTA,BANCO,UF,PAIS,MOEDA,REGIAO,CLIENTE,ANOMES,VALOR
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.918.659.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.918.659.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.918.659.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-4.918.659.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.918.659.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.953.240.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.953.240.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.953.240.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-4.953.240.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,210,DESPESAS INDIRETAS                      ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,4.953.240.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,1.950.024.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,1.950.024.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-1.950.024.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,226,OVER ESP. + PESSOAL / EQPTO DISPON÷VEL  ,PO                            ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,235,DESP./REC.FINANCEIRA-CONSORCIO          ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-5.952.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,235,DESP./REC.FINANCEIRA-CONSORCIO          ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-5.952.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,235,DESP./REC.FINANCEIRA-CONSORCIO          ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,5.952.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,235,DESP./REC.FINANCEIRA-CONSORCIO          ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,-5.952.000.000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,331,FUNDO PROJETO  AJUSTE                   ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,331,FUNDO PROJETO  AJUSTE                   ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
VPAL ,VAR PRE AMêRICA LATINA             ,NULL,AmÇrica Latina                          ,331,FUNDO PROJETO  AJUSTE                   ,ECOR                          ,CONSOLIDADORA       ,CONSOLIDADORA,NBR$      ,CONSOLIDADORA       ,NULL,201312,0.00000000
